Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Panama,Americas,484125,11220.189,2687,62.275,487,7405,171.62,14,0.324,5
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,467682,9167.694,2202,43.165,291,4884,95.738,27,0.529,2
Paraguay,Americas,464793,6516.516,867,12.156,90,16588,232.568,72,1.009,5
Slovenia,Europe,451966,21564.693,8080,385.522,1255,5950,283.893,18,0.859,0
Venezuela (Bolivarian Republic of),Americas,442178,1554.997,2734,9.615,241,5299,18.635,47,0.165,8
Kuwait,Eastern Mediterranean,414413,9703.925,566,13.253,143,2466,57.744,0,0,0
Dominican Republic,Americas,412263,3800.391,1337,12.325,241,4223,38.929,3,0.028,0
Uruguay,Americas,405236,11665.731,2258,65.002,415,6157,177.245,11,0.317,1
Mongolia,Western Pacific,387235,11812.103,1098,33.493,0,1974,60.214,6,0.183,0
Libya,Eastern Mediterranean,383445,5580.392,3629,52.814,561,5626,81.877,50,0.728,11
Ethiopia,Africa,382371,332.602,8511,7.403,2992,6880,5.985,34,0.03,3
Honduras,Americas,378963,3826.129,321,3.241,120,10429,105.294,5,0.05,1
Egypt,Eastern Mediterranean,377960,369.338,6262,6.119,879,21500,21.01,297,0.29,43
Republic of Moldova,Europe,373373,9255.737,2422,60.04,390,9557,236.913,123,3.049,17
Norway,Europe,359262,6693.184,23803,443.459,4799,1257,23.418,55,1.025,48
Armenia,Europe,344126,11613.19,969,32.701,129,7936,267.816,62,2.092,15
Oman,Eastern Mediterranean,304938,5971.418,177,3.466,42,4113,80.542,0,0,0
Bosnia and Herzegovina,Europe,286276,8725.759,3167,96.531,552,13224,403.071,160,4.877,20
Bahrain,Eastern Mediterranean,278875,16389.228,673,39.552,161,1394,81.924,0,0,0
Singapore,Western Pacific,276720,4729.98,2103,35.947,335,818,13.982,11,0.188,1
Kenya,Africa,270899,503.799,13285,24.706,3328,5355,9.959,5,0.009,1
Latvia,Europe,269204,14111.628,5173,271.168,748,4477,234.684,69,3.617,11
Australia,Western Pacific,264917,1038.895,29371,115.181,5739,2162,8.478,45,0.176,8
Qatar,Eastern Mediterranean,247082,8576.1,1227,42.589,185,614,21.312,0,0,0
Estonia,Europe,234958,17679.627,4444,334.393,866,1899,142.892,30,2.257,4
Nigeria,Africa,231413,112.26,11393,5.527,4035,2991,1.451,8,0.004,2
Finland,Europe,227169,4111.439,14134,255.805,3000,1504,27.22,11,0.199,8
North Macedonia,Europe,222064,10658.833,1896,91.006,320,7853,376.936,73,3.504,15
Zambia,Africa,221880,1206.922,9602,52.23,2857,3685,20.045,14,0.076,0
Algeria,Africa,215430,491.277,1897,4.326,285,6205,14.15,40,0.091,7
Albania,Europe,206616,7179.651,1989,69.115,343,3180,110.501,28,0.973,2
Botswana,Africa,204701,8704.654,7057,300.09,0,2425,103.12,1,0.043,0
Puerto Rico,Americas,202316,7071.877,12481,436.268,3166,3287,114.896,10,0.35,0
Zimbabwe,Africa,199404,1341.62,17347,116.713,1636,4828,32.484,69,0.464,9
Uzbekistan,Europe,197753,590.851,1231,3.678,187,1471,4.395,22,0.066,3
Kyrgyzstan,Europe,184356,2825.73,262,4.016,37,2788,42.733,11,0.169,1
Mozambique,Africa,164862,527.467,9367,29.969,2337,1960,6.271,14,0.045,3
Montenegro,Europe,161668,25740.771,1435,228.481,367,2388,380.217,20,3.184,2
Kosovo[1],Europe,161251,8980.011,67,3.731,20,2979,165.899,1,0.056,0
Afghanistan,Eastern Mediterranean,157841,405.465,176,0.452,25,7341,18.858,10,0.026,6
Cyprus,Europe,147685,16631.1,4807,541.326,883,624,70.27,10,1.126,1
Namibia,Africa,140449,5527.519,7005,275.689,931,3589,141.249,11,0.433,6
Ghana,Africa,134034,431.353,2194,7.061,988,1267,4.078,14,0.045,4
Uganda,Africa,130178,284.598,1809,3.955,0,3274,7.158,3,0.007,0
China,Western Pacific,130109,8.843,777,0.053,121,5699,0.387,1,0,0
El Salvador,Americas,121623,1875.103,356,5.489,93,3812,58.771,12,0.185,2
Cambodia,Western Pacific,120430,720.32,40,0.239,3,3006,17.98,11,0.066,1
Cameroon,Africa,108451,408.542,789,2.972,41,1851,6.973,15,0.057,5
Rwanda,Africa,102697,792.891,1809,13.967,465,1345,10.384,1,0.008,0
Lao People's Democratic Republic,Western Pacific,101865,1400.098,8804,121.008,1341,288,3.958,32,0.44,4
Luxembourg,Europe,97858,15629.572,2636,421.014,600,906,144.703,10,1.597,2
Maldives,South-East Asia,94299,17445.203,670,123.949,0,260,48.1,1,0.185,0
Jamaica,Americas,92226,3114.515,358,12.09,97,2450,82.738,18,0.608,0
Trinidad and Tobago,Americas,86596,6187.691,4739,338.624,723,2639,188.569,185,13.219,27
Senegal,Africa,74223,443.283,118,0.705,27,1890,11.288,4,0.024,4
Réunion,Africa,71795,8018.992,4558,509.096,4558,401,44.789,8,0.894,8
Democratic Republic of the Congo,Africa,70059,78.225,6672,7.45,732,1126,1.257,0,0,0
Malawi,Africa,67278,351.689,4345,22.713,1112,2317,12.112,7,0.037,4
Mauritius,Africa,66929,5262.674,782,61.489,0,762,59.917,27,2.123,0
Angola,Africa,65938,200.625,372,1.132,0,1738,5.288,1,0.003,0
Eswatini,Africa,62890,5420.785,6690,576.643,796,1267,109.209,13,1.121,2
Côte d’Ivoire,Africa,62583,237.252,640,2.426,247,706,2.676,0,0,0
Guadeloupe,Americas,55564,13886.695,189,47.235,0,830,207.436,2,0.5,0
Fiji,Western Pacific,52706,5879.446,102,11.378,48,697,77.752,0,0,0
Suriname,Americas,51498,8778.587,209,35.627,36,1186,202.171,7,1.193,1
Syrian Arab Republic,Eastern Mediterranean,49911,285.195,418,2.388,50,2859,16.337,31,0.177,4
Martinique,Americas,47337,12614.286,510,135.904,0,769,204.922,13,3.464,0
Madagascar,Africa,47295,170.795,1501,5.421,0,996,3.597,16,0.058,0
French Guiana,Americas,47012,15739.817,422,141.287,102,337,112.829,4,1.339,0
French Polynesia,Western Pacific,46376,16509.32,34,12.104,1,636,226.409,0,0,0
Sudan,Eastern Mediterranean,46100,105.133,386,0.88,63,3298,7.521,3,0.007,0
Malta,Europe,43070,8370.193,2181,423.854,582,473,91.922,2,0.389,2
Mauritania,Africa,40239,865.418,315,6.775,57,859,18.474,7,0.151,2
Guyana,Americas,38926,4948.942,308,39.158,35,1039,132.096,15,1.907,6
Cabo Verde,Africa,38655,6952.501,128,23.022,37,352,63.311,1,0.18,0
Gabon,Africa,38039,1709.054,358,16.085,209,286,12.85,1,0.045,0
Papua New Guinea,Western Pacific,36059,403.028,66,0.738,34,589,6.583,2,0.022,0
Belize,Americas,31322,7877.212,170,42.754,28,591,148.631,5,1.257,0
Guinea,Africa,30888,235.197,74,0.563,74,389,2.962,1,0.008,1
Barbados,Americas,27308,9502.566,359,124.924,66,256,89.082,3,1.044,0
Togo,Africa,27108,327.442,642,7.755,197,246,2.971,2,0.024,0
United Republic of Tanzania,Africa,26483,44.335,0,0,0,734,1.229,0,0,0
Lesotho,Africa,26004,1213.864,2101,98.075,0,665,31.042,0,0,0
Haiti,Americas,25945,227.537,38,0.333,0,765,6.709,0,0,0
Benin,Africa,24935,205.68,28,0.231,0,161,1.328,0,0,0
Seychelles,Africa,24249,24656.573,228,231.832,52,126,128.118,0,0,0
Burundi,Africa,23657,198.952,2235,18.796,648,14,0.118,0,0,0
Bahamas,Americas,23240,5909.817,269,68.405,79,713,181.312,0,0,0
Somalia,Eastern Mediterranean,23169,145.779,95,0.598,0,1333,8.387,0,0,0
Iceland,Europe,22087,6065.624,2024,555.839,500,37,10.161,1,0.275,0
Andorra,Europe,21372,27660.648,1236,1599.689,310,138,178.606,4,5.177,1
Mayotte,Africa,21288,7803.09,149,54.616,45,185,67.812,0,0,0
Timor-Leste,South-East Asia,19833,1504.272,3,0.228,0,122,9.253,0,0,0
Mali,Africa,19554,96.559,698,3.447,83,648,3.2,14,0.069,1
Congo,Africa,19490,353.202,311,5.636,0,367,6.651,2,0.036,0
Curaçao,Americas,17901,10909.058,283,172.463,94,184,112.132,2,1.219,0
Tajikistan,Europe,17493,183.41,0,0,0,125,1.311,0,0,0
Burkina Faso,Africa,17040,81.518,368,1.76,0,317,1.517,21,0.1,0
Aruba,Americas,16920,15847.742,274,256.636,72,180,168.593,2,1.873,0
Jersey,Europe,16802,15586.849,949,880.367,168,89,82.563,5,4.638,1
Brunei Darussalam,Western Pacific,15426,3526.112,54,12.343,8,57,13.029,0,0,0
Guam,Western Pacific,15255,9038.661,32,18.96,4,270,159.976,1,0.593,0
South Sudan,Africa,14275,127.527,1226,10.953,444,135,1.206,2,0.018,2
Equatorial Guinea,Africa,13618,970.645,1,0.071,0,175,12.473,0,0,0
Djibouti,Eastern Mediterranean,13546,1371.053,20,2.024,0,189,19.13,0,0,0
Nicaragua,Americas,13531,204.255,38,0.574,0,216,3.261,1,0.015,0
Isle of Man,Europe,13369,15722.316,557,655.048,108,67,78.794,0,0,0
New Zealand,Western Pacific,13278,275.35,410,8.502,60,49,1.016,1,0.021,0
Saint Lucia,Americas,13209,7193.387,104,56.637,32,295,160.652,12,6.535,0
New Caledonia,Western Pacific,12701,4448.718,144,50.438,31,280,98.074,0,0,0
Central African Republic,Africa,11961,247.652,0,0,0,101,2.091,0,0,0
Yemen,Eastern Mediterranean,10103,33.873,22,0.074,0,1981,6.642,8,0.027,4
Gambia,Africa,10087,417.393,42,1.738,9,342,14.152,0,0,0
Cayman Islands,Americas,8097,12320.45,90,136.945,0,9,13.694,0,0,0
Gibraltar,Europe,7954,23608.679,325,964.649,52,100,296.815,0,0,0
Eritrea,Africa,7817,220.419,131,3.694,10,70,1.974,5,0.141,0
United States Virgin Islands,Americas,7726,7398.611,102,97.678,45,88,84.271,0,0,0
San Marino,Europe,7447,21942.955,523,1541.045,96,97,285.815,2,5.893,0
Niger,Africa,7237,29.897,61,0.252,23,273,1.128,3,0.012,1
Sierra Leone,Africa,6573,82.4,139,1.743,48,121,1.517,0,0,0
Dominica,Americas,6520,9056.688,234,325.041,0,44,61.119,2,2.778,0
Guinea-Bissau,Africa,6458,328.15,6,0.305,0,149,7.571,0,0,0
Guernsey,Europe,6074,9421.729,706,1095.117,128,23,35.677,0,0,0
Grenada,Americas,5933,5272.7,18,15.997,12,200,177.741,0,0,0
Liberia,Africa,5929,117.228,85,1.681,0,287,5.675,0,0,0
Bermuda,Americas,5917,9501.71,127,203.941,0,106,170.218,0,0,0
Liechtenstein,Europe,5896,15216.662,225,580.69,0,67,172.917,0,0,0
Saint Vincent and the Grenadines,Americas,5810,5237.065,87,78.421,26,79,71.21,2,1.803,0
Chad,Africa,5703,34.72,0,0,0,181,1.102,0,0,0
Faroe Islands,Europe,4974,10179.065,453,927.044,82,13,26.604,0,0,0
Comoros,Africa,4952,569.457,376,43.238,275,152,17.479,2,0.23,0
Sint Maarten,Americas,4705,10971.97,49,114.267,9,75,174.899,0,0,0
Monaco,Europe,4537,11561.003,314,800.122,52,37,94.282,1,2.548,0
Antigua and Barbuda,Americas,4205,4293.927,28,28.592,4,117,119.474,0,0,0
Saint Martin,Americas,4075,10540.883,16,41.388,0,38,98.295,0,0,0
Sao Tome and Principe,Africa,3737,1705.155,4,1.825,1,57,26.009,0,0,0
Turks and Caicos Islands,Americas,3178,8208.069,37,95.563,6,26,67.152,1,2.583,1
Bonaire,Americas,3176,15185.274,62,296.438,5,22,105.188,0,0,0
British Virgin Islands,Americas,3016,9974.535,130,429.937,130,39,128.981,0,0,0
Saint Kitts and Nevis,Americas,2809,5280.869,12,22.56,1,28,52.639,0,0,0
Bhutan,South-East Asia,2659,344.605,7,0.907,0,3,0.389,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,2641,4588.495,524,910.402,61,8,13.899,2,3.475,0
Greenland,Europe,2182,3843.444,265,466.779,18,0,0,0,0,0
Saint Barthélemy,Americas,1692,17116.844,9,91.047,0,4,40.465,0,0,0
Anguilla,Americas,1629,10858.552,37,246.634,0,5,33.329,1,6.666,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,96,1656.601,1,17.256,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,81,2325.581,1,28.711,0,0,0,0,0,0
Montserrat,Americas,45,900.18,1,20.004,0,1,20.004,0,0,0
Sint Eustatius,Americas,31,987.576,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,14,724.263,2,103.466,0,0,0,0,0,0
American Samoa,Western Pacific,11,19.929,1,1.812,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,2,1.008,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
